Kommunenavn	Period	År	Måned	Antall
Færder	2023/01	2023	1	97 510
Holmestrand	2023/01	2023	1	70 025
Horten	2023/01	2023	1	96 451
Larvik	2023/01	2023	1	127 054
Sandefjord	2023/01	2023	1	166 991
Tønsberg	2023/01	2023	1	368 851
Færder	2023/02	2023	2	83 955
Holmestrand	2023/02	2023	2	55 370
Horten	2023/02	2023	2	85 868
Larvik	2023/02	2023	2	111 199
Sandefjord	2023/02	2023	2	138 446
Tønsberg	2023/02	2023	2	311 712
Færder	2023/03	2023	3	104 422
Holmestrand	2023/03	2023	3	76 846
Horten	2023/03	2023	3	105 018
Larvik	2023/03	2023	3	141 910
Sandefjord	2023/03	2023	3	175 493
Tønsberg	2023/03	2023	3	389 404
Færder	2023/04	2023	4	79 418
Holmestrand	2023/04	2023	4	50 321
Horten	2023/04	2023	4	75 088
Larvik	2023/04	2023	4	97 574
Sandefjord	2023/04	2023	4	114 179
Tønsberg	2023/04	2023	4	278 514
Færder	2023/05	2023	5	88 783
Holmestrand	2023/05	2023	5	56 953
Horten	2023/05	2023	5	80 935
Larvik	2023/05	2023	5	106 589
Sandefjord	2023/05	2023	5	122 786
Tønsberg	2023/05	2023	5	313 271
Færder	2023/06	2023	6	82 017
Holmestrand	2023/06	2023	6	42 832
Horten	2023/06	2023	6	70 261
Larvik	2023/06	2023	6	95 206
Sandefjord	2023/06	2023	6	102 112
Tønsberg	2023/06	2023	6	285 854
Færder	2023/07	2023	7	58 956
Holmestrand	2023/07	2023	7	17 433
Horten	2023/07	2023	7	44 811
Larvik	2023/07	2023	7	70 154
Sandefjord	2023/07	2023	7	66 023
Tønsberg	2023/07	2023	7	183 643
Færder	2023/08	2023	8	76 774
Holmestrand	2023/08	2023	8	42 728
Horten	2023/08	2023	8	76 049
Larvik	2023/08	2023	8	90 012
Sandefjord	2023/08	2023	8	104 017
Tønsberg	2023/08	2023	8	274 450
Færder	2023/09	2023	9	99 658
Holmestrand	2023/09	2023	9	72 412
Horten	2023/09	2023	9	93 627
Larvik	2023/09	2023	9	123 160
Sandefjord	2023/09	2023	9	146 209
Tønsberg	2023/09	2023	9	358 648
Færder	2023/10	2023	10	92 687
Holmestrand	2023/10	2023	10	66 356
Horten	2023/10	2023	10	88 589
Larvik	2023/10	2023	10	114 105
Sandefjord	2023/10	2023	10	143 137
Tønsberg	2023/10	2023	10	340 065
Færder	2022/01	2022	1	69 894
Holmestrand	2022/01	2022	1	51 417
Horten	2022/01	2022	1	63 495
Larvik	2022/01	2022	1	93 756
Sandefjord	2022/01	2022	1	119 025
Tønsberg	2022/01	2022	1	245 844
Færder	2022/02	2022	2	67 142
Holmestrand	2022/02	2022	2	46 649
Horten	2022/02	2022	2	64 381
Larvik	2022/02	2022	2	82 184
Sandefjord	2022/02	2022	2	111 194
Tønsberg	2022/02	2022	2	239 145
Færder	2022/03	2022	3	92 275
Holmestrand	2022/03	2022	3	70 622
Horten	2022/03	2022	3	88 438
Larvik	2022/03	2022	3	116 043
Sandefjord	2022/03	2022	3	151 365
Tønsberg	2022/03	2022	3	326 083
Færder	2022/04	2022	4	72 134
Holmestrand	2022/04	2022	4	48 047
Horten	2022/04	2022	4	66 049
Larvik	2022/04	2022	4	86 935
Sandefjord	2022/04	2022	4	107 962
Tønsberg	2022/04	2022	4	246 376
Færder	2022/05	2022	5	80 744
Holmestrand	2022/05	2022	5	53 268
Horten	2022/05	2022	5	72 291
Larvik	2022/05	2022	5	98 151
Sandefjord	2022/05	2022	5	118 958
Tønsberg	2022/05	2022	5	283 081
Færder	2022/06	2022	6	74 356
Holmestrand	2022/06	2022	6	38 388
Horten	2022/06	2022	6	63 053
Larvik	2022/06	2022	6	82 497
Sandefjord	2022/06	2022	6	92 721
Tønsberg	2022/06	2022	6	249 827
Færder	2022/07	2022	7	55 795
Holmestrand	2022/07	2022	7	15 452
Horten	2022/07	2022	7	43 278
Larvik	2022/07	2022	7	63 199
Sandefjord	2022/07	2022	7	60 053
Tønsberg	2022/07	2022	7	169 161
Færder	2022/08	2022	8	77 399
Holmestrand	2022/08	2022	8	44 307
Horten	2022/08	2022	8	74 917
Larvik	2022/08	2022	8	87 075
Sandefjord	2022/08	2022	8	103 429
Tønsberg	2022/08	2022	8	264 913
Færder	2022/09	2022	9	95 500
Holmestrand	2022/09	2022	9	70 436
Horten	2022/09	2022	9	91 903
Larvik	2022/09	2022	9	118 399
Sandefjord	2022/09	2022	9	142 267
Tønsberg	2022/09	2022	9	338 339
Færder	2022/10	2022	10	85 285
Holmestrand	2022/10	2022	10	58 666
Horten	2022/10	2022	10	85 028
Larvik	2022/10	2022	10	103 721
Sandefjord	2022/10	2022	10	130 998
Tønsberg	2022/10	2022	10	308 815
Færder	2022/11	2022	11	99 826
Holmestrand	2022/11	2022	11	72 449
Horten	2022/11	2022	11	94 624
Larvik	2022/11	2022	11	125 850
Sandefjord	2022/11	2022	11	164 868
Tønsberg	2022/11	2022	11	361 912
Færder	2022/12	2022	12	82 229
Holmestrand	2022/12	2022	12	55 237
Horten	2022/12	2022	12	76 567
Larvik	2022/12	2022	12	102 969
Sandefjord	2022/12	2022	12	134 789
Tønsberg	2022/12	2022	12	309 015
Færder	2023/11	2023	11	105 437
Holmestrand	2023/11	2023	11	77 423
Horten	2023/11	2023	11	99 213
Larvik	2023/11	2023	11	136 665
Sandefjord	2023/11	2023	11	176 891
Tønsberg	2023/11	2023	11	390 775
